Hatchery Spring Chinook,Hatchery Type S Coho
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
118,262
123,262
123,262
123,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
125,262
127,262
127,262
127,262
127,262
127,262
127,262
127,262
128,262
128,262
128,262
128,262
128,262
130,262
130,262
130,262
130,262
130,262
130,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
132,262
134,262
134,262
134,262
134,262
134,262
134,262
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,263
134,266
134,266
134,266
134,266
134,266
134,266
134,266
134,266
134,266
134,266
134,266
134,266
136,266
136,266
136,266
136,266
136,266
136,266
136,266
136,266
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
136,268
137,268
137,268
137,268
137,268
137,268
137,268
137,268
137,268
137,268
137,268
137,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,268
138,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
139,269
140,269
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
140,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,270
141,272
141,272
142,272
142,272
142,272
142,272
142,272
142,272
142,272
142,272
142,272
142,272
142,272
142,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
143,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
144,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
145,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,272
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,273
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
146,275
147,275
147,275
147,275
147,275
147,275
147,275
147,275
147,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,275
148,277
148,277
148,277
148,277
148,277
148,277
148,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
149,277
151,277
151,277
151,277
151,277
151,277
151,277
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
151,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,279
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,280
152,282
153,282
153,282
153,282
153,282
153,282
154,282
154,282
155,282
155,282
155,282
155,282
155,282
155,282
155,282
155,282
156,282
156,282
156,282
156,282
156,282
158,282
158,282
158,282
158,282
158,282
159,282
159,282
159,282
159,282
159,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,282
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
160,287
161,287
161,287
161,287
162,287
162,287
162,287
162,287
162,287
162,287
162,287
162,287
162,287
162,289
162,289
162,289
162,289
162,289
162,289
162,289
162,289
166,289
166,289
167,289
167,289
167,289
169,289
169,289
169,294
169,294
169,294
169,294
169,294
169,294
169,294
169,294
169,294
169,294
169,298
169,298
171,298
171,298
171,298
171,298
171,298
171,298
171,298
171,298
171,298
172,298
172,298
172,298
172,298
172,298
173,298
173,298
173,301
174,301
174,302
175,302
175,302
176,302
176,302
176,302
176,305
176,305
179,305
180,305
185,305
187,305
187,309
187,309
187,314
187,314
187,314
188,322
195,322
196,322
196,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
197,322
201,322
203,322
203,322
203,322
203,322
203,322
203,322
203,322
203,322
203,322
213,322
213,322
228,322
229,322
232,322
234,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
248,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,322
253,
253,
253,
253,
253,
253,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
254,
256,
256,
257,
257,
257,
258,
258,
258,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
260,
268,
268,
268,
268,
268,
268,
269,
273,
273,
273,
